281	23.62	49.50
282	24.46	43.50
283	24.04	50.00
284	26.10	42.50
285	25.28	42.25
286	24.62	49.25
287	25.92	42.50
288	26.10	38.50
289	27.38	42.75
290	28.26	39.25
291	23.30	62.75
292	29.00	68.00
293	27.10	53.50
294	25.28	58.75
295	24.34	69.00
296	23.70	70.00
297	22.82	61.50
298	23.50	56.75
299	23.12	71.25
300	22.38	88.75
301	21.26	88.75
302	22.28	64.00
303	22.82	53.75
304	24.12	61.75
305	23.14	79.00
306	22.64	79.75
307	22.92	81.25
308	25.78	65.25
309	26.04	62.50
310	25.00	68.75
311	22.74	82.75
312	23.18	73.75
313	20.10	85.25
314	25.44	59.50
315	26.10	59.00
316	26.70	73.00
317	23.48	76.25
318	24.54	72.75
319	23.34	73.75
320	23.38	87.75
321	27.06	58.50
322	23.66	75.25
323	24.48	79.00
324	22.68	87.00
325	21.78	82.75
326	23.22	77.50
327	21.02	87.50
328	20.36	90.75
329	20.70	85.75
330	23.38	72.25
331	22.88	70.00
332	22.38	83.25
333	23.18	87.25
334	23.66	81.25
335	25.76	84.75
336	22.86	84.75
337	23.14	80.00
338	23.48	75.50
339	22.32	85.00
340	22.60	83.75
341	22.02	88.75
342	23.30	78.00
343	23.56	83.00
344	22.56	86.50
345	26.76	79.00
346	23.08	80.00
347	22.70	82.50
348	24.80	68.75
349	24.38	70.00
350	23.88	70.00
351	23.58	81.25
352	23.64	68.75
353	23.46	74.00
354	22.98	73.75
355	23.72	74.00
356	28.40	71.50
357	25.50	60.00
358	25.12	66.00
359	23.16	75.75
360	21.78	83.50
361	21.52	82.50
362	22.64	76.00
363	21.96	84.75
364	21.34	86.25
365	23.98	67.00
